"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Percent_State_Hospitals_With_Staffing_Shortage","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Maricopa","AZ","High",50,44.6209977409321,13.9,10.49,64,64,35,4485414,4013,TRUE,"SustainedHotspot"
"Los Angeles","CA","Substantial",61.8,58.9864765884128,6.02,2.91,76,73,29,10039107,6037,TRUE,"EmergingHotspot"
"Cook","IL","Substantial",62.8,59.4472095790155,7.32,4.4,67,68,5,5150233,17031,TRUE,"ModerateBurden"
"San Diego","CA","High",51.8,49.6641532149692,6.17,3.01,76,74,29,3338330,6073,TRUE,"EmergingHotspot"
"Salt Lake","UT","High",58.8,55.2540477732098,10.23,6.23,75,69,2,1160437,49035,TRUE,"SustainedHotspot"
"Wayne","MI","High",48.6,43.0074625528522,9.88,6.02,82,81,4,1749343,26163,TRUE,"Hotspot"
"Harris","TX","Substantial",56.1,52.6030297370487,10.57,6.91,89,90,4,4713325,48201,TRUE,"HighBurdenResolving"
"Tarrant","TX","High",50.3,46.3141939174859,10.69,7.01,89,90,4,2102515,48439,TRUE,"SustainedHotspot"
"Riverside","CA","High",50.8,46.0659173628493,6.9,3.35,76,74,29,2470546,6065,TRUE,"EmergingHotspot"
"El Paso","CO","High",54.9,50.4340069374614,7.84,4.65,72,71,13,720403,8041,TRUE,"SustainedHotspot"
"King","WA","High",71.4,68.5102718500534,5.56,4.05,78,64,23,2252782,53033,TRUE,"SustainedHotspot"
"Dallas","TX","High",53,49.5281168784774,10.78,7.04,89,93,4,2635516,48113,TRUE,"SustainedHotspot"
"Fresno","CA","High",52,47.4264104769381,7.06,3.45,76,89,29,999101,6019,TRUE,"SustainedHotspot"
"San Bernardino","CA","High",49.2,45.405503798829,7.4,3.61,76,70,29,2180085,6071,TRUE,"EmergingHotspot"
"Oakland","MI","High",61.2,55.9453259090798,7.19,4.36,82,75,4,1257584,26125,TRUE,"Hotspot"
"Kern","CA","High",44.4,40.5470409458348,8.21,4.04,76,90,29,900202,6029,TRUE,"SustainedHotspot"
"Hennepin","MN","High",64.6,60.0799153932943,6.19,3.3,79,87,13,1265843,27053,TRUE,"SustainedHotspot"
"Clark","NV","High",49.7,45.1790017842138,11.83,6.24,84,84,0,2266715,32003,TRUE,"HighBurdenResolving"
"Allegheny","PA","High",61.3,56.9718097632029,9.34,5.99,83,88,14,1216045,42003,TRUE,"SustainedHotspot"
"Macomb","MI","High",52.3,45.8361122543659,9.14,5.59,82,86,4,873972,26099,TRUE,"SustainedHotspot"
