"Location","Type","County","State","Community_Transmission_Level","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Percent_Fully_Vaccinated","Percent_Estimated_Vaccination_Strongly_Hesitant","Population","Vaccination_Data_Is_For_County","Latitude","Longitude","Area_of_Concern_Category","FIPS"
"Cusseta","Populated Place","Chattahoochee","GA","High",419,14.96,80,NA,100,9.27,10907,TRUE,32.30543,-84.7727,"ModerateBurdenResolving",13053
"Nogales","Populated Place","Santa Cruz","AZ","High",91,14.1,67,NA,92,10.76,46498,TRUE,31.34038,-110.93425,"SustainedHotspot",4023
"Pete Kitchens Museum","Museum","Santa Cruz","AZ","High",91,14.1,67,NA,92,10.76,46498,TRUE,31.4001,-110.95759,"SustainedHotspot",4023
"Rio Rico","Populated Place","Santa Cruz","AZ","High",91,14.1,67,NA,92,10.76,46498,TRUE,31.47148,-110.97648,"SustainedHotspot",4023
"Grand Teton National Park","National Park","Teton","WY","High",81,20.5,53,33,83,14.72,23464,TRUE,43.79044,-110.68176,"HighBurdenResolving",56039
"Jackson","Populated Place","Teton","WY","High",81,20.5,53,33,83,14.72,23464,TRUE,43.47993,-110.76243,"HighBurdenResolving",56039
"National Museum of Wildlife Art of the United States","Museum","Teton","WY","High",81,20.5,53,33,83,14.72,23464,TRUE,43.5198,-110.7477,"HighBurdenResolving",56039
"National Park Mountain","National Park","Teton","WY","High",81,20.5,53,33,83,14.72,23464,TRUE,44.63688,-110.8716,"HighBurdenResolving",56039
"Marfa and Presidio County Museum","Museum","Presidio","TX","Moderate",79,11.66,87,NA,81,7.89,6704,TRUE,30.17544,-104.2913,"ModerateBurden",48377
"Grandmother's Buttons Museum","Museum","West Feliciana Parish","LA","Low",78,18.98,75,NA,83,11.74,15568,TRUE,30.77474,-91.38531,"LowBurden",22125
"Louisiana State Penitentiary Museum","Museum","West Feliciana Parish","LA","Low",78,18.98,75,NA,83,11.74,15568,TRUE,30.94035,-91.56942,"LowBurden",22125
"West Feliciana Historical Society Museum","Museum","West Feliciana Parish","LA","Low",78,18.98,75,NA,83,11.74,15568,TRUE,30.77767,-91.38194,"LowBurden",22125
"Corte Madera","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.92548,-122.52748,"ModerateBurden",6041
"Discovery Museum","Museum","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.83548,-122.47497,"ModerateBurden",6041
"Fairfax","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.98715,-122.58887,"ModerateBurden",6041
"Kentfield","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.95215,-122.5572,"ModerateBurden",6041
"Larkspur","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.93409,-122.53525,"ModerateBurden",6041
"Lucas Valley-Marinwood","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,38.04011,-122.5755,"ModerateBurden",6041
"Marin County Historical Society Museum","Museum","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.97548,-122.5297,"ModerateBurden",6041
"Marin Museum of the American Indian","Museum","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,38.11436,-122.60304,"ModerateBurden",6041
"Mill Valley","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.90604,-122.54498,"ModerateBurden",6041
"Novato","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,38.10742,-122.5697,"ModerateBurden",6041
"San Anselmo","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.97465,-122.56164,"ModerateBurden",6041
"San Rafael","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.97353,-122.53109,"ModerateBurden",6041
"Sausalito","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.85909,-122.48525,"ModerateBurden",6041
"Strawberry","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.89687,-122.50886,"ModerateBurden",6041
"Tamalpais Valley","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.87965,-122.54581,"ModerateBurden",6041
"Tamalpais-Homestead Valley","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.87834,-122.53625,"ModerateBurden",6041
"Tiburon","Populated Place","Marin","CA","Substantial",76,4.96,76,67,79,2.5,258826,TRUE,37.87354,-122.45664,"ModerateBurden",6041
"Ashton-Sandy Spring","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.14976,-77.00504,"Hotspot",24031
"Aspen Hill","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.07955,-77.07303,"Hotspot",24031
"Bethesda","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,38.98067,-77.10026,"Hotspot",24031
"Burtonsville","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.11122,-76.93248,"Hotspot",24031
"Chevy Chase","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.00287,-77.07115,"Hotspot",24031
"Clarksburg","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.23872,-77.27943,"Hotspot",24031
"Cloverly","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.10816,-76.99775,"Hotspot",24031
"Colesville","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.07566,-77.00192,"Hotspot",24031
"Damascus","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.28844,-77.20387,"Hotspot",24031
"Darnestown","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.10344,-77.29082,"Hotspot",24031
"Fairland","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.07622,-76.95775,"Hotspot",24031
"Forest Glen","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.01455,-77.0547,"Hotspot",24031
"Four Corners","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.02039,-77.01275,"Hotspot",24031
"Gaithersburg","Populated Place","Montgomery","MD","Substantial",75,5.26,72,62,78,2.76,1050688,TRUE,39.14344,-77.20137,"Hotspot",24031
